Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
White,F,Police Department,63,30.71,R,A
White,M,Seattle City Light,30,30.41,R,A
White,M,Seattle Center,51,16.11,T,A
White,M,Seattle Center,35,31.26,T,A
White,M,Parks & Recreation,18,16.92,T,A
White,F,Information Technology,29,37.49,R,A
White,M,Seattle Dept of Transportation,47,32.35,R,A
White,M,Seattle Public Utilities,72,50.62,R,A
White,M,Police Department,59,61.02,R,A
White,F,Seattle City Light,62,40.76,R,A
White,M,Police Department,51,59.24,R,A
White,F,Seattle Public Library,29,24.71,R,A
White,M,Seattle City Light,62,26.9,R,A
White,M,Police Department,69,60.77,R,A
White,M,Fire Department,62,67.17,R,A
White,M,Seattle Dept of Transportation,57,28.49,R,A
White,M,Seattle Dept of Transportation,39,60.81,R,A
White,M,Seattle Center,50,31.26,T,A
White,F,Seattle Center,77,16.11,T,A
White,F,Seattle Center,55,31.26,T,A
White,M,Police Department,51,58.46,R,A
White,M,Fire Department,49,49.92,R,A
White,F,Police Department,45,57.96,R,L
White,F,Police Department,43,64.64,R,A
White,M,Seattle Public Utilities,47,37.23,R,A
White,F,Construction & Inspections,52,57.58,R,A
White,F,Fire Department,39,34.58,R,A
White,F,Seattle Center,55,40.48,R,A
White,F,Information Technology,60,52.601,R,A
White,M,Seattle Public Utilities,42,32.96,R,A
White,M,Police Department,45,59.23,R,A
White,M,Police Department,48,58.46,R,A
White,F,Sustainability & Environment,40,60.63,R,A
White,M,Parks & Recreation,61,29.56,R,A
White,F,Office of Labor Standards,34,29.29,R,A
White,M,Fire Department,57,47.71,R,A
White,F,Municipal Court,70,49.86,T,A
White,F,Seattle City Light,62,74.4313,R,A
White,M,Seattle City Light,61,56.66,R,A
White,F,Parks & Recreation,66,45.622,R,A
White,M,Seattle City Light,63,54.64,R,A
White,M,Seattle Public Utilities,63,35.71,R,A
White,M,Seattle Center,74,16.11,T,A
White,M,Fire Department,33,39.02,R,A
White,M,Seattle City Light,70,53.07,R,A
White,M,Seattle Public Utilities,63,54.985,R,A
White,F,Construction & Inspections,24,36.66,R,A
White,M,Police Department,51,55.91,R,A
White,M,Parks & Recreation,59,25.17,R,A
White,M,Seattle Public Utilities,54,59.595,R,A
White,M,Seattle Dept of Transportation,78,30.5,R,A
White,F,Mayor's Office,45,60.11,R,A
White,F,Parks & Recreation,46,32.17,R,L
White,M,Police Department,47,53.11,R,A
White,F,Parks & Recreation,32,42.92,R,A
White,M,Police Department,35,56.68,R,A
White,M,Seattle City Light,48,50.18,R,A
White,M,Seattle Dept of Transportation,36,30.31,R,A
White,M,Seattle City Light,62,61.38,R,A
White,M,Seattle Center,56,23.58,R,A
White,F,Police Department,51,57.2,R,A
White,F,Parks & Recreation,23,16.11,T,A
White,F,Seattle Public Utilities,50,54.57,R,A
White,M,Seattle City Light,62,67,R,A
White,M,Parks & Recreation,53,30.39,R,A
White,M,Fire Department,48,62.6,R,A
White,M,Parks & Recreation,18,16.92,T,A
White,M,Police Department,45,55.91,R,A
White,F,Parks & Recreation,58,36.28,R,A
White,M,Seattle Public Utilities,53,52.23,R,A
White,F,Seattle Public Utilities,35,58.62,R,A
White,M,Seattle Public Utilities,55,32.96,R,A
White,F,Finance & Admin Services,68,34.76,T,A
White,F,Seattle Public Library,39,45.26,R,A
White,M,Seattle Public Utilities,60,63.1,R,A
White,M,Police Department,35,60.43,R,A
White,M,Seattle City Light,20,21.5,T,A
White,F,Police Department,48,31.49,R,A
White,F,Seattle Public Library,37,39.95,R,A
White,M,Police Department,25,28.99,R,A
White,F,Legislative Department,41,48.09,R,A
White,M,Seattle Center,56,33.45,R,A
White,M,Parks & Recreation,58,22.19,T,A
White,F,Construction & Inspections,64,64.75,R,A
White,F,Seattle City Light,28,35.76,R,A
White,F,Education & Early Learning,55,26.65,R,A
White,F,Law Department,45,60.904,R,A
White,M,Police Department,38,53.87,R,A
White,F,Sustainability & Environment,48,48.09,R,A
White,M,Finance & Admin Services,64,60.341,R,A
White,M,Fire Department,37,40.13,R,A
White,F,Seattle City Light,39,57.65,R,A
White,F,Seattle Center,60,46.13,R,A
White,M,Seattle Public Utilities,40,31.89,R,A
White,M,Police Department,29,52.09,R,A
White,F,Seattle Center,50,36.13,R,A
White,M,Construction & Inspections,49,38.98,R,A
White,M,Information Technology,60,49.456,R,A
White,M,Finance & Admin Services,41,46.35,R,A
White,M,Seattle Public Utilities,40,36.13,R,A
White,F,Construction & Inspections,39,51.65,R,A
White,M,Legislative Department,47,40.3521,R,A
White,M,Seattle Dept of Transportation,48,52.55,R,A
White,M,Seattle Dept of Transportation,55,32.81,R,A
White,M,Police Department,55,83.81,R,A
White,M,Fire Department,53,45.12,R,A
White,M,Fire Department,51,46.97,R,A
White,F,Seattle Center,61,16.11,T,A
White,F,Education & Early Learning,49,58.07,R,A
White,F,Parks & Recreation,29,16.4,R,A
White,F,Seattle Public Library,30,36.27,R,A
White,M,Seattle Public Library,60,21.32,R,A
White,M,Fire Department,44,54.36,R,A
White,M,Police Department,35,52.85,R,A
White,F,Seattle City Light,48,50.36,R,A
White,F,Seattle Public Library,44,24.71,R,A
White,M,Construction & Inspections,54,39.62,R,A
White,M,Construction & Inspections,64,47.13,R,A
White,M,Seattle Center,67,26.88,R,A
White,F,Law Department,50,37.59,R,A
White,M,Police Department,26,46.43,R,A
White,M,Fire Department,37,38.28,R,A
White,M,Fire Department,41,48.79,R,A
White,F,Fire Department,49,45.8,R,A
White,M,Seattle City Light,31,39.94,R,A
White,M,Neighborhoods,62,42.06,R,A
White,F,Employees' Retirement System,63,58.765,R,A
White,F,Parks & Recreation,28,50.35,T,A
White,M,Police Department,49,55.91,R,A
White,M,Information Technology,64,56.507,R,A
White,M,Police Department,29,52.85,R,A
White,M,Seattle City Light,51,68.98,R,A
White,M,Seattle City Light,62,43.14,R,A
White,M,Seattle Dept of Transportation,25,16.14,R,A
White,F,Finance & Admin Services,58,50.715,R,A
White,F,Seattle Public Utilities,39,44.57,R,A
White,F,Seattle City Light,41,36.13,R,A
White,M,Fire Department,37,40.87,R,A
White,F,Law Department,65,69.979,R,A
White,F,City Budget Office,45,53.534,R,A
White,M,Information Technology,55,53.62,T,A
White,M,Fire Department,46,42.53,R,A
White,F,Police Department,46,65.22,R,A
White,F,Police Department,57,30.72,R,A
White,M,Information Technology,63,62.25,R,A
White,F,Seattle Dept of Transportation,28,20.3,T,A
White,M,Police Department,21,32.74,R,A
White,M,Finance & Admin Services,53,35.89,R,A
White,F,Seattle Public Utilities,31,41.06,T,A
White,M,Police Department,43,33.45,R,A
White,F,Finance & Admin Services,29,41.26,R,A
White,M,Seattle Dept of Transportation,33,50.91,R,A
White,F,City Auditor,54,58.4713,R,A
White,M,Seattle Public Utilities,43,50.18,R,A
White,M,Finance & Admin Services,63,54.84,R,A
White,F,Seattle Dept of Transportation,53,25.17,R,A
White,M,Police Department,22,28.99,R,A
White,M,Police Department,53,69.05,R,A
White,F,Police Department,50,75.39,R,A
White,M,Fire Department,57,104.877,R,A
White,M,Seattle City Light,34,62.26,R,A
White,M,Fire Department,36,32.73,R,A
White,M,Construction & Inspections,54,57.15,R,A
White,F,Seattle Dept of Transportation,30,44.51,R,A
White,F,Fire Department,27,32.73,R,A
White,F,Parks & Recreation,29,27.42,R,A
White,F,Seattle Dept of Human Resource,68,63.56,R,A
White,F,Seattle Dept of Transportation,36,27.49,R,A
White,M,Law Department,32,42.47,R,A
White,F,Finance & Admin Services,42,49.859,R,A
White,M,Police Department,54,57.71,R,A
White,M,Seattle City Light,36,42.36,R,A
White,F,Parks & Recreation,20,16.92,T,A
White,F,Seattle Public Library,31,19.34,T,A
White,F,Fire Department,53,37.59,R,A
White,F,Parks & Recreation,29,16,T,A
White,M,Mayor's Office,72,86.825,R,A
White,F,Seattle Dept of Transportation,50,58.125,R,A
White,F,Seattle Public Library,38,39.95,R,A
White,M,Fire Department,51,45.12,R,A
White,M,Seattle Public Library,61,30.91,R,A
White,F,Seattle City Light,34,51.87,R,A
White,F,Seattle City Light,36,47.18,R,A
White,M,Parks & Recreation,20,19.91,T,A
White,F,Police Department,29,52.09,R,A
White,F,Parks & Recreation,62,29.43,R,A
White,F,Police Department,27,46.43,R,A
White,M,Seattle Center,61,31.26,T,A
White,M,Seattle City Light,23,51.87,R,A
White,M,Seattle Public Library,37,39.95,R,A
White,M,Police Department,37,55.15,R,A
White,M,Police Department,42,54.89,R,A
White,M,Seattle City Light,35,46.77,R,A
White,M,Construction & Inspections,37,45.45,R,A
White,M,Seattle Public Library,52,33.71,R,A
White,F,Seattle Public Library,63,39.95,R,A
White,M,Construction & Inspections,46,49.91,R,A
White,M,Fire Department,52,50.66,R,A
White,F,Seattle Public Library,54,30.3,R,A
White,M,Police Department,38,64.64,R,A
White,F,Finance & Admin Services,42,35.43,R,A
White,F,Finance & Admin Services,55,33.78,R,A
White,F,Parks & Recreation,56,27.18,R,A
White,M,Seattle Dept of Transportation,46,53.101,R,A
White,F,Police Relief & Pension Fund,51,51.26,R,A
White,F,Parks & Recreation,60,16.11,T,A
White,F,Police Department,53,31.49,R,A
White,M,Construction & Inspections,42,42.06,R,A
White,F,Information Technology,58,61.65,R,A
White,M,Finance & Admin Services,30,29.59,R,A
White,M,Seattle Public Library,48,31.74,R,A
White,F,Police Department,56,36.64,R,A
White,M,Seattle City Light,59,39.86,R,A
White,M,Finance & Admin Services,44,38.86,R,A
White,F,Municipal Court,31,26.09,R,A
White,M,Fire Department,42,45.3,R,A
White,M,Finance & Admin Services,46,35.89,R,A
White,M,Seattle Public Utilities,49,47.18,R,A
White,M,Seattle Public Library,33,24.71,R,A
White,F,Seattle Dept of Human Resource,33,42.06,R,A
White,M,Information Technology,37,46.35,T,A
White,F,Municipal Court,37,44,R,A
White,M,Seattle Center,50,31.26,T,A
White,F,Neighborhoods,43,47.74,R,A
White,M,Seattle Dept of Transportation,28,30.31,T,A
White,M,Seattle City Light,31,35.76,R,A
White,M,Police Department,27,41.83,R,A
White,M,Seattle Dept of Transportation,44,30.5,R,A
White,F,Seattle Center,50,40.48,R,A
White,M,Legislative Department,47,65.5956,R,A
White,M,Fire Department,36,34.58,R,A
White,M,Seattle City Light,61,51.8466,R,A
White,M,Parks & Recreation,57,36.28,R,A
White,F,Police Department,32,26.09,R,A
White,F,Construction & Inspections,32,43.51,R,A
White,F,Seattle City Light,58,35.7,R,A
White,M,Seattle Public Library,51,39.95,R,A
White,M,Fire Department,28,34.58,R,A
White,F,Police Department,42,47.6805,R,A
White,M,Seattle Public Library,46,39.95,R,A
White,F,Parks & Recreation,37,16.11,T,A
White,M,Seattle Dept of Transportation,44,35.71,R,A
White,M,Seattle City Light,27,51.87,R,A
White,M,Seattle Public Utilities,42,41.2,R,A
White,F,Seattle Public Utilities,45,38.98,R,A
White,F,Legislative Department,38,34,T,A
White,M,Parks & Recreation,41,18,T,A
White,F,Seattle Public Library,41,39.95,R,A
White,M,Fire Department,34,40.87,R,A
White,F,Seattle Public Library,33,39.95,R,A
White,M,Parks & Recreation,18,16.92,T,A
White,M,Police Department,27,42.85,R,A
White,M,Seattle Center,58,27.18,R,A
White,F,Human Services Department,62,43.73,R,A
White,M,Seattle City Light,57,50.36,R,A
White,F,Seattle Dept of Transportation,31,44.42,R,A
White,F,Seattle Center,71,16.11,T,A
White,F,Seattle Center,70,34.42,T,A
White,M,Parks & Recreation,48,39.59,R,A
White,F,Police Department,30,28.16,R,A
White,M,Seattle Dept of Transportation,34,37.59,T,A
White,M,Parks & Recreation,33,18,T,A
White,M,Seattle Center,66,31.26,T,A
White,M,Parks & Recreation,25,22.19,T,A
White,M,Police Department,27,42.85,R,A
White,M,Seattle Public Utilities,35,35.16,R,A
White,F,Municipal Court,42,46,R,A
White,F,Seattle Dept of Transportation,30,38.98,R,A
White,M,Seattle Dept of Transportation,28,20.3,T,A
White,M,Police Department,41,56.17,R,A
White,F,Police Department,25,41.83,R,A
White,F,Parks & Recreation,75,27.18,R,A
White,M,Police Department,54,72.28,R,A
White,F,Seattle Center,57,49.91,R,A
White,F,Information Technology,66,40.48,R,A
White,F,Fire Department,60,83.65,R,A
White,F,Fire Department,58,59.17,R,A
White,F,Seattle City Light,61,26.9,R,A
White,M,Fire Department,33,34.58,R,A
White,M,Seattle Dept of Transportation,44,63.394,R,A
White,M,Information Technology,56,58.44,R,A
White,M,Information Technology,41,42.92,R,A
White,M,Seattle Dept of Transportation,34,28.84,R,A
White,M,Seattle Public Library,39,45.26,R,A
White,F,Seattle Dept of Transportation,21,16.56,T,A
White,M,Seattle Dept of Transportation,29,39.94,R,A
White,F,Seattle City Light,39,52.23,R,A
White,M,Finance & Admin Services,48,29.56,R,A
White,M,Seattle Center,39,23.58,R,A
White,M,Police Department,56,61.02,R,P
White,F,Parks & Recreation,19,16.92,T,A
White,M,Police Department,36,52.85,R,A
White,M,Law Department,49,34.76,R,A
White,F,Fire Department,64,37.59,R,A
White,M,Seattle Public Utilities,34,43.26,R,A
White,F,Seattle Center,64,31.26,T,A
White,M,Seattle Public Utilities,59,37.53,R,A
White,F,Police Department,52,107.6985,R,A
White,M,Seattle City Light,52,54.5193,R,A
White,M,Seattle Center,59,31.26,T,A
White,M,Information Technology,46,53.814,R,A
White,F,Information Technology,36,46.13,R,A
White,M,Fire Department,51,48.82,R,A
White,M,Construction & Inspections,57,51.65,R,A
White,M,Seattle Public Utilities,56,44.51,R,A
White,F,Seattle Public Utilities,48,49.77,R,A
White,M,Seattle Public Utilities,63,56.157,R,A
White,F,Municipal Court,59,42.81,R,A
White,F,Seattle Dept of Transportation,29,34.76,R,A
White,F,Police Department,32,52.85,R,A
White,M,Parks & Recreation,67,47.98,R,A
White,M,Seattle Public Utilities,54,45.5,R,A
White,F,Parks & Recreation,22,16.11,T,A
White,M,Fire Department,41,40.87,R,A
White,M,Seattle City Light,59,68.98,R,A
White,M,Information Technology,50,51.629,R,A
White,M,Seattle Dept of Transportation,44,36.92,R,A
White,F,Education & Early Learning,32,51.884,R,A
White,M,Seattle City Light,64,50.36,R,A
White,F,Finance & Admin Services,32,43.813,R,A
White,M,Legislative Department,51,59.08,R,A
White,M,Information Technology,32,55.077,R,A
White,F,Information Technology,49,46.53,R,A
White,M,Parks & Recreation,47,16.11,T,A
White,M,Seattle City Light,38,51.87,R,A
White,M,Seattle Dept of Transportation,31,27.36,R,A
White,F,Parks & Recreation,40,20.51,R,A
White,M,Seattle Center,59,22.19,T,A
White,M,Information Technology,38,60.032,R,A
White,M,Police Department,35,55.91,R,A
White,F,Human Services Department,42,26.09,R,A
White,F,Construction & Inspections,72,24.28,T,A
White,F,Human Services Department,16,16,T,A
White,M,Finance & Admin Services,50,35.89,R,A
White,M,Parks & Recreation,52,26.09,R,A
White,M,Seattle City Light,62,48.94,R,A
White,M,Fire Department,46,41.61,R,A
White,F,Seattle Public Library,59,46.06,R,A
White,M,Seattle Public Library,57,33.41,R,A
White,F,Police Department,61,29.61,R,A
White,M,Seattle City Light,36,51.87,R,A
White,M,Human Services Department,49,49.91,R,A
White,M,Construction & Inspections,51,31,R,A
White,F,Police Department,37,32.74,R,A
White,M,Seattle Public Utilities,36,43,R,A
White,M,Police Department,37,55.91,R,A
White,M,Fire Department,52,41.61,R,A
White,M,Police Department,36,48.71,R,A
White,M,Police Department,24,44.75,R,A
White,M,Police Department,28,44.75,R,A
White,M,Fire Department,30,34.58,R,A
White,M,Seattle Public Utilities,59,59.171,R,A
White,M,Seattle City Light,32,39.78,R,A
White,M,Parks & Recreation,36,41.84,R,A
White,M,Information Technology,58,64.578,R,A
White,M,Human Services Department,41,34.07,R,A
White,F,Police Department,25,46.43,R,A
White,F,Seattle Public Utilities,42,45,R,A
White,M,Police Department,36,46.43,R,A
White,M,Seattle Public Utilities,46,33.45,R,A
White,M,Fire Department,42,43.46,R,A
White,M,Seattle Center,53,16.11,T,A
White,F,Legislative Department,68,59.08,R,A
White,M,Seattle Center,43,40.48,R,A
White,M,Information Technology,55,48.796,R,A
White,M,Fire Department,44,49.37,R,A
White,M,Fire Department,49,44.38,R,L
White,M,Information Technology,60,55.471,R,A
White,F,Seattle Center,77,16.11,T,A
White,F,Parks & Recreation,37,46.5,R,A
White,F,Law Department,47,60.118,R,A
White,F,Information Technology,41,64.581,R,A
White,M,Police Department,48,67.87,R,A
White,M,Finance & Admin Services,63,45.45,R,A
White,M,Fire Department,74,104.887,R,A
White,M,Seattle City Light,60,56.66,R,A
White,M,Law Department,35,46.456,R,A
White,M,Fire Department,39,51.4,R,A
White,F,Finance & Admin Services,44,28.74,R,A
White,M,Information Technology,47,49.567,R,A
White,M,Police Department,41,64.35,R,A
White,F,Seattle Center,65,16.11,T,A
White,F,Human Services Department,58,34.07,R,A
White,M,Police Department,56,58.98,R,A
White,F,Seattle City Light,40,38.98,T,A
White,M,Fire Department,26,36.43,R,A
White,F,Police Department,35,31.49,R,A
White,M,Parks & Recreation,18,16.92,T,A
White,M,Police Department,45,64.05,R,A
White,M,Fire Department,48,45.8,R,A
White,M,Seattle City Light,64,39.15,R,A
White,F,Seattle Center,56,16.11,T,A
White,F,Parks & Recreation,15,22.08,T,A
White,F,Construction & Inspections,66,47.04,R,A
White,F,Seattle Public Library,45,51.07,R,A
White,M,Finance & Admin Services,37,38.29,R,A
White,F,Seattle City Light,54,55.3987,R,A
White,M,Seattle Dept of Transportation,46,58.53,R,A
White,M,Parks & Recreation,59,26.09,R,A
White,M,Seattle City Light,55,50.36,R,A
White,M,Seattle Center,53,27.18,R,A
White,M,Fire Department,51,44.38,R,A
White,F,Parks & Recreation,32,26.09,R,A
White,M,Police Department,48,67.87,R,A
White,M,Parks & Recreation,40,30.39,R,A
White,M,Parks & Recreation,49,35.22,R,A
White,M,Seattle Center,56,31.26,T,A
White,M,Police Department,53,30.71,R,A
White,M,Seattle Dept of Transportation,44,62.25,T,A
White,F,Seattle Public Library,56,42.8,R,A
White,F,Seattle City Light,57,31.63,R,A
White,M,Police Department,49,64.35,R,A
White,M,Seattle Public Library,46,33.32,R,A
White,M,Information Technology,35,21.61,T,A
White,F,Arts & Culture,42,43.829,R,A
White,M,Legislative Department,58,40.48,R,A
White,M,Seattle Dept of Transportation,47,50.18,R,A
White,M,Seattle City Light,38,52.92,R,A
White,M,Parks & Recreation,32,28.49,R,A
White,F,Education & Early Learning,40,33.45,R,A
White,F,Human Services Department,31,42.06,R,A
White,M,Seattle City Light,55,50.36,R,A
White,M,Parks & Recreation,40,16.92,T,A
White,M,Parks & Recreation,57,31,R,A
White,M,Police Department,30,46.43,R,A
White,F,Municipal Court,42,49.86,T,A
White,M,Seattle Public Utilities,62,26.09,R,A
White,M,Seattle Dept of Transportation,66,26.53,R,A
White,M,Seattle City Light,45,29.56,R,A
White,F,Planning & Comm Development,51,57.17,R,A
White,M,Police Department,50,69.93,R,A
White,M,Fire Department,46,57.5,R,A
White,F,Seattle City Light,46,34.07,R,A
White,M,Police Department,37,52.09,R,A
White,M,Information Technology,64,57.075,R,A
White,M,Seattle City Light,56,69.4,R,A
White,M,Police Department,50,60,R,A
White,M,Seattle City Light,47,33.78,R,A
White,M,Police Department,50,58.22,R,A
White,M,Parks & Recreation,26,16.92,T,A
White,M,Finance & Admin Services,55,27.14,R,A
White,M,Seattle City Light,51,56.66,R,A
White,F,Police Department,38,44.57,R,A
White,M,Parks & Recreation,29,22.19,T,A
White,M,Seattle Dept of Transportation,45,27.18,R,A
White,F,Neighborhoods,27,32.17,T,A
White,M,Fire Department,57,48.07,R,A
White,M,Seattle Public Utilities,65,43.03,R,A
White,M,Parks & Recreation,34,46.35,R,A
White,M,Municipal Court,48,49.86,T,A
White,M,Seattle City Light,33,51.87,R,A
White,F,Municipal Court,42,39.78,R,A
White,F,Human Services Department,64,33.45,R,A
White,M,Fire Department,41,39.76,R,A
White,F,Parks & Recreation,24,16.11,T,A
White,M,Police Department,57,84.56,R,A
White,M,Police Department,33,46.43,R,A
White,M,Police Department,36,55.91,R,A
White,M,Police Department,54,68.17,R,A
White,F,Seattle Center,64,66.98,R,A
White,F,Seattle City Light,58,46.35,R,A
White,M,Fire Department,42,39.02,R,A
White,M,Seattle City Light,40,63.81,T,A
White,F,Fire Department,46,48.82,R,A
White,F,Parks & Recreation,52,36.28,R,A
White,M,Legislative Department,48,58.3479,R,A
White,M,Police Department,27,46.43,R,A
White,M,Seattle City Light,50,51.349,R,A
White,M,Police Department,64,30.71,R,A
White,M,Seattle City Light,58,38.1,R,A
White,M,Seattle City Light,63,56.66,R,A
White,M,Seattle Dept of Transportation,41,34.01,R,A
White,M,Seattle Public Utilities,62,37.53,R,A
White,M,Seattle Dept of Transportation,36,41.84,R,A
White,F,Seattle City Light,72,27.18,R,A
White,F,Seattle City Light,31,42.92,R,A
White,M,Seattle City Light,32,51.87,R,A
White,F,Seattle City Light,32,42.71,R,A
White,F,Finance & Admin Services,49,40.48,R,A
White,F,Mayor's Office,42,80.22,R,A
White,M,Police Department,56,60,R,L
White,M,Information Technology,55,51.325,R,A
White,M,Seattle City Light,72,50.18,R,A
White,F,Fire Department,35,30.88,R,A
White,M,Information Technology,58,59.159,R,A
White,M,Fire Department,47,45.45,R,A
White,M,Fire Department,46,64.75,R,A
White,M,Fire Department,65,66.56,R,A
White,M,Fire Department,59,66.56,R,A
White,M,Information Technology,43,42.92,R,A
White,F,Police Department,52,36.13,R,A
White,M,Seattle Public Utilities,43,33.66,R,A
White,M,Police Department,28,46.43,R,A
White,M,Construction & Inspections,59,45.45,R,A
White,M,Fire Department,50,42.53,R,A
White,M,Police Department,32,39.01,R,A
White,M,Parks & Recreation,67,32.17,T,A
White,M,Fire Department,65,49.55,R,A
White,M,Police Department,48,55.91,R,A
White,F,Seattle Dept of Transportation,67,56.276,R,A
White,F,Municipal Court,52,49.86,T,A
White,F,Seattle Public Library,63,38.6,R,A
White,M,Seattle Center,63,31.26,T,A
White,F,Seattle Public Library,28,24.71,R,A
White,F,Information Technology,58,57,T,A
White,M,Seattle City Light,32,34.62,R,A
White,F,Seattle Dept of Human Resource,36,34.76,R,A
White,M,Parks & Recreation,17,16.92,T,A
White,F,Seattle Public Library,57,53.63,R,A
White,M,Seattle Center,60,31.26,T,A
White,F,Police Department,23,26.04,R,A
White,F,Seattle Dept of Transportation,24,39.73,R,A
White,M,Office of Housing,29,34.76,R,A
White,M,Fire Department,26,38.28,R,A
White,F,Seattle Public Library,33,32.02,R,A
White,M,Information Technology,56,59,T,A
White,M,Parks & Recreation,44,26.09,R,A
White,F,Fire Department,49,62.259,R,A
White,F,Parks & Recreation,65,26.09,R,A
White,F,Information Technology,57,55.027,R,A
White,M,Parks & Recreation,68,33.45,T,A
White,M,Fire Department,39,39.76,R,A
White,M,Parks & Recreation,66,16.92,T,A
White,F,Seattle City Light,47,24.55,T,A
White,M,Police Department,45,57.44,R,A
White,F,Seattle Public Utilities,60,43.73,R,A
White,M,Fire Department,31,40.13,R,A
White,M,Seattle City Light,53,58.36,R,A
White,M,Seattle City Light,50,62.27,R,A
White,F,Information Technology,35,58,R,A
White,M,Seattle Center,41,31.26,T,A
White,M,Police Department,50,83.81,R,A
White,M,Parks & Recreation,17,16.92,T,A
White,M,Seattle Center,59,31.26,T,A
White,M,Seattle Public Utilities,52,32.87,R,A
White,M,Parks & Recreation,17,16.92,T,A
White,M,Finance & Admin Services,36,43.11,R,A
White,M,Police Department,40,55.91,R,A
White,F,Human Services Department,48,37.59,R,A
White,F,Police Department,50,69.05,R,A
White,M,City Budget Office,53,52.95,R,A
White,M,Fire Department,35,39.76,R,A
White,M,Police Department,51,58.22,R,A
White,F,Fire Department,57,57.5,R,A
White,M,Fire Department,52,44.38,R,A
White,F,Human Services Department,36,36.92,R,A
White,M,Seattle Public Library,33,22.38,R,A
White,M,Parks & Recreation,60,38.1,R,L
White,F,Information Technology,44,50,T,A
White,F,Seattle Dept of Human Resource,20,16.56,T,A
White,M,Police Department,49,55.91,R,A
White,M,Seattle Center,46,31.26,T,A
White,M,Construction & Inspections,58,45.45,R,A
White,M,Seattle City Light,35,33.72,R,A
White,M,Fire Department,62,48.81,R,A
White,M,Fire Department,27,40.13,R,A
White,F,Seattle Public Utilities,22,20.91,T,A
White,M,Seattle City Light,40,50.36,R,A
White,F,Seattle Center,52,34.42,T,A
White,M,Seattle Public Library,37,30.58,R,L
White,F,Seattle Public Utilities,58,55.423,R,A
White,M,Police Department,49,58.98,R,A
White,M,Seattle City Light,55,68.98,R,A
White,F,Seattle Public Utilities,40,24.28,R,A
White,M,Police Department,36,57.19,R,A
White,M,Police Department,44,67.29,R,A
White,M,Police Department,64,58.22,R,A
White,M,Seattle City Light,64,49.77,R,A
White,M,Parks & Recreation,41,28.29,R,A
White,M,Police Department,48,60.77,R,A
White,M,Seattle Public Utilities,66,37.59,R,A
White,F,Seattle Public Utilities,44,25.17,R,A
White,F,Municipal Court,52,39.03,R,A
White,M,Information Technology,48,55,R,A
White,F,Seattle Center,44,29.89,R,A
White,M,Seattle Public Utilities,55,32.96,R,A
White,M,Information Technology,33,53.708,R,A
White,M,Fire Department,55,44.38,R,A
White,F,Seattle Public Library,16,16,R,A
White,F,Seattle City Light,68,50.62,R,A
White,M,Fire Department,45,43.46,R,A
White,F,Parks & Recreation,27,16.11,T,A
White,F,Seattle City Light,54,58.36,R,A
White,F,City Budget Office,33,46.35,R,A
White,M,Construction & Inspections,42,41.89,R,A
White,F,City Budget Office,57,52.95,R,A
White,M,Seattle Public Utilities,53,63.1,R,A
White,M,Police Department,51,60.78,R,A
White,M,Police Department,46,60.26,R,A
White,M,Seattle Public Utilities,54,38.76,R,A
White,M,Seattle Public Utilities,49,58.53,R,A
White,F,Seattle Dept of Transportation,52,58.53,R,A
White,M,Seattle Public Utilities,49,63.409,R,A
White,M,Parks & Recreation,24,19.91,T,A
White,M,Seattle Public Utilities,56,37.39,T,A
White,F,Parks & Recreation,20,16.11,T,A
White,M,Seattle Public Library,32,20.3,R,A
White,M,Parks & Recreation,17,16.92,T,A
White,F,City Auditor,55,48.09,R,A
White,M,Seattle Public Utilities,64,26.85,R,A
White,F,Neighborhoods,58,35.43,R,A
White,M,Seattle City Light,37,51.87,R,A
White,F,Parks & Recreation,20,16.11,T,A
White,F,Seattle Public Utilities,36,44.51,R,A
White,F,Seattle Public Utilities,58,42.92,R,A
White,M,Seattle City Light,50,69.4,R,A
White,M,Police Department,33,52.85,R,A
White,M,Fire Department,56,57.5,R,A
White,F,Seattle Public Library,40,39.95,R,A
White,M,Parks & Recreation,19,16.92,T,A
White,M,Seattle City Light,39,25.84,R,A
White,F,Seattle Public Utilities,55,44.57,R,A
White,M,Police Department,48,57.96,R,A
White,M,Information Technology,66,51.067,T,A
White,M,Seattle Dept of Transportation,33,31.51,R,A
White,M,Seattle City Light,39,50.36,R,A
White,M,Seattle City Light,66,52.92,R,A
White,F,Seattle Center,47,49.838,R,A
White,M,Parks & Recreation,43,29.56,R,A
White,M,Seattle Dept of Transportation,43,64.49,R,A
White,M,Seattle Public Utilities,57,31.33,R,A
White,M,Seattle Center,49,33.71,R,A
White,M,Police Department,47,57.09,R,A
White,M,Human Services Department,46,31,R,A
White,M,Seattle City Light,56,30.7,R,A
White,F,Construction & Inspections,57,41.89,R,A
White,F,Intergovernment Relations,55,68.59,R,A
White,M,Information Technology,60,44.872,R,A
White,M,Fire Department,34,41.61,R,A
White,M,Seattle Public Utilities,47,49.67,R,A
White,M,Construction & Inspections,52,46.23,R,A
White,M,Police Department,34,48.71,R,A
White,M,Fire Department,39,38.28,R,A
White,F,Parks & Recreation,32,28.49,R,A
White,M,Fire Department,43,41.61,R,A
White,F,Mayor's Office,35,41.77,R,A
White,F,Human Services Department,42,50.66,R,A
White,M,Seattle City Light,59,50.36,R,A
